GO,AncestorGroup,AncestorGroupIndex,Color
GO:0000002,cellular component organization or biogenesis,1344.0,239.0
GO:0000012,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",3194.0,596.0
GO:0000027,cellular component organization or biogenesis,1344.0,239.0
GO:0000028,cellular component organization or biogenesis,1344.0,239.0
GO:0000038,"cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",1564.0,314.0
GO:0000045,"catabolic process,cellular metabolic process,process utilizing autophagic mechanism,cellular component organization or biogenesis",363.0,62.0
GO:0000050,"nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,small molecule metabolic process,organic substance metabolic process",2880.0,546.0
GO:0000070,"cell cycle,chromosome segregation,cell cycle process,cellular component organization or biogenesis",1099.0,194.0
GO:0000076,"cell cycle,cell communication,signal transduction,cell cycle process,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,negative regulation of biological process,regulation of biological process",1036.0,178.0
GO:0000077,"cell cycle,cell communication,signal transduction,cell cycle process,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,negative regulation of biological process,response to stress,regulation of biological process",1037.0,179.0
GO:0000079,"nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cell cycle,regulation of cellular process,regulation of biological process,regulation of molecular function",3326.0,637.0
GO:0000082,"cell cycle,cell cycle process",1045.0,181.0
GO:0000083,"nitrogen compound metabolic process,biosynthetic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cell cycle,cell cycle process,regulation of cellular process,regulation of biological process",3005.0,560.0
GO:0000086,"cell cycle,cell cycle process",1045.0,181.0
GO:0000132,"microtubule-based process,cell cycle,establishment or maintenance of cell polarity,cell cycle process,cellular localization,cellular component organization or biogenesis,establishment of localization",2147.0,420.0
GO:0000165,"cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",966.0,158.0
GO:0000183,"negative regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cellular component organization or biogenesis,negative regulation of biological process,regulation of biological process",2797.0,525.0
GO:0000184,"nitrogen compound metabolic process,catabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",3117.0,576.0
GO:0000209,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0000226,"microtubule-based process,cellular component organization or biogenesis",2149.0,421.0
GO:0000244,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000245,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000266,cellular component organization or biogenesis,1344.0,239.0
GO:0000278,cell cycle,1031.0,177.0
GO:0000281,"cell cycle,cell cycle process,cell division",1056.0,182.0
GO:0000288,"nitrogen compound metabolic process,catabolic process,biosynthetic process,negative regulation of metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,negative regulation of cellular process,regulation of cellular process,positive regulation of biological process,negative regulation of biological process,regulation of biological process,regulation of biological quality",3066.0,564.0
GO:0000289,"nitrogen compound metabolic process,catabolic process,biosynthetic process,negative regulation of metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,negative regulation of cellular process,regulation of cellular process,positive regulation of biological process,negative regulation of biological process,regulation of biological process,regulation of biological quality",3066.0,564.0
GO:0000290,"nitrogen compound metabolic process,catabolic process,biosynthetic process,negative regulation of metabolic process,positive regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,positive regulation of cellular process,negative regulation of cellular process,regulation of cellular process,positive regulation of biological process,negative regulation of biological process,regulation of biological process,regulation of biological quality",3066.0,564.0
GO:0000302,"response to stress,response to chemical",4239.0,808.0
GO:0000338,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0000375,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0000380,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0000381,"nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,regulation of cellular process,regulation of biological process",3336.0,641.0
GO:0000387,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000395,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000413,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181.0,592.0
GO:0000422,"catabolic process,cellular metabolic process,process utilizing autophagic mechanism,cellular component organization or biogenesis",363.0,62.0
GO:0000423,"catabolic process,cellular metabolic process,process utilizing autophagic mechanism,cellular component organization or biogenesis",363.0,62.0
GO:0000460,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000462,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000463,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
GO:0000470,"nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189.0,594.0
