"","GO","AncestorGroup","AncestorGroupIndex","Color","Label"
"1","GO.0000002","cellular component organization or biogenesis",1344,239,0
"2","GO.0000012","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular response to stimulus,response to stress",3194,596,0
"3","GO.0000027","cellular component organization or biogenesis",1344,239,0
"4","GO.0000028","cellular component organization or biogenesis",1344,239,0
"5","GO.0000038","cellular metabolic process,primary metabolic process,small molecule metabolic process,organic substance metabolic process",1564,314,0
"6","GO.0000045","catabolic process,cellular metabolic process,process utilizing autophagic mechanism,cellular component organization or biogenesis",363,62,0
"7","GO.0000050","nitrogen compound metabolic process,biosynthetic process,cellular metabolic process,small molecule metabolic process,organic substance metabolic process",2880,546,0
"8","GO.0000070","cell cycle,chromosome segregation,cell cycle process,cellular component organization or biogenesis",1099,194,0
"9","GO.0000076","cell cycle,cell communication,signal transduction,cell cycle process,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,negative regulation of biological process,regulation of biological process",1036,178,0
"10","GO.0000077","cell cycle,cell communication,signal transduction,cell cycle process,negative regulation of cellular process,regulation of cellular process,cellular response to stimulus,negative regulation of biological process,response to stress,regulation of biological process",1037,179,0
"11","GO.0000079","nitrogen compound metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cell cycle,regulation of cellular process,regulation of biological process,regulation of molecular function",3326,637,0
"12","GO.0000082","cell cycle,cell cycle process",1045,181,0
"13","GO.0000083","nitrogen compound metabolic process,biosynthetic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cell cycle,cell cycle process,regulation of cellular process,regulation of biological process",3005,560,0
"14","GO.0000086","cell cycle,cell cycle process",1045,181,0
"15","GO.0000132","microtubule-based process,cell cycle,establishment or maintenance of cell polarity,cell cycle process,cellular localization,cellular component organization or biogenesis,establishment of localization",2147,420,0
"16","GO.0000165","cell communication,signal transduction,regulation of cellular process,cellular response to stimulus,regulation of biological process",966,158,0
"17","GO.0000183","negative regulation of metabolic process,regulation of metabolic process,organic substance metabolic process,cellular component organization or biogenesis,negative regulation of biological process,regulation of biological process",2797,525,0
"18","GO.0000184","nitrogen compound metabolic process,catabolic process,negative regulation of metabolic process,regulation of metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,negative regulation of biological process,regulation of biological process",3117,576,0
"19","GO.0000209","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process",3181,592,0
"20","GO.0000226","microtubule-based process,cellular component organization or biogenesis",2149,421,0
"21","GO.0000244","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189,594,0
"22","GO.0000245","nitrogen compound metabolic process,cellular metabolic process,primary metabolic process,organic substance metabolic process,cellular component organization or biogenesis",3189,594,0
"23","GO.0000266","cellular component organization or biogenesis",1344,239,0
