,prediction,Age
7471147146_R01C01,54.15753799796049,51.5
7786923037_R03C02,42.06099435642473,41.4
7786915113_R03C01,68.4448069628707,67.69999999999999
7786915153_R03C02,39.4224506090882,38.5
7471147049_R03C02,39.46925527699854,38.2
GSM2333981,30.227615734655807,28.0
7786915035_R02C01,32.90998047607502,35.3
7471147140_R01C01,39.49965426901804,37.6
7786915018_R01C01,53.30947154795257,50.5
7786915130_R06C01,56.63187861403532,58.7
GSM2334290,65.03170592369898,70.0
7471147065_R03C02,38.9468614554788,32.6
7786915099_R03C02,47.675591158081346,47.39999999999999
7471147088_R02C02,47.74372973156223,48.400000000000006
GSM2333911,83.73724759373975,86.00000000000001
7786915109_R05C01,41.45486785869838,40.5
7471147165_R02C01,54.54382594647943,56.4
7507875168_R06C02,51.35477636492324,50.7
7786915127_R01C01,32.054236644270105,37.6
7471147134_R06C02,54.61451897182957,57.7
7471147087_R04C02,40.72947231319972,42.10000000000001
GSM2334371,62.43527837805248,62.0
GSM2334090,78.77483595072145,83.0
7471147079_R05C01,46.144558708480574,46.4
7471147117_R02C01,59.007051549320465,55.8
7786923059_R05C02,45.2027990935306,40.0
7471147102_R03C02,60.02155745792479,66.6
7786923037_R04C02,54.45492984595593,56.300000000000004
7471147079_R06C02,66.75767206799284,71.1
GSM2334400,67.82595594804368,65.0
7471147117_R04C01,46.10636107623853,48.8
GSM2334216,21.506576984176608,19.0
7507875027_R01C01,69.62615290611556,68.4
GSM2334401,36.28999687711756,36.0
7786923006_R04C01,62.24050929094508,64.4
7786923016_R03C01,40.4217674269945,38.599999999999994
7786915063_R01C01,52.93095187654639,52.8
7786915092_R05C02,46.96024994570743,47.89999999999999
7786923077_R02C01,57.98578077036729,61.7
7786923014_R01C02,41.10225179413851,39.6
GSM2334545,54.65320891047708,57.99999999999999
7786923031_R06C02,42.45194605060169,43.3
GSM2334370,20.851495896973006,21.0
7512551046_R05C02,44.518708176513144,44.0
7471147141_R06C02,52.84260715189225,57.599999999999994
7471147062_R02C02,48.220300810787734,47.7
7507875154_R04C01,52.636793508951,49.3
GSM2334064,79.23422432150412,79.0
GSM2334522,38.44864634403661,34.0
7471147061_R03C01,55.33134009098968,49.7
7786915061_R05C02,56.779614369312284,54.70000000000001
7471147115_R06C02,42.15228193773264,41.8
7786915159_R01C01,68.32143582628456,72.7
GSM2334148,15.69897958101102,17.0
7786915023_R02C01,49.81427902165045,52.7
GSM2334441,49.09120756880745,46.0
7786915029_R04C01,56.14882730762079,57.599999999999994
GSM2334494,18.148084469968072,19.0
7507875158_R05C01,42.65547177971604,43.3
7786923018_R05C01,53.932160309885006,53.2
GSM2334525,59.12049646278573,57.99999999999999
7471147098_R03C02,62.43715908091075,66.2
7786923065_R05C02,42.57511942538692,42.5
GSM2334355,57.73442368688067,59.0
7471147057_R05C02,48.1809519615168,46.599999999999994
